state,color,move,player
"(1100048498944, 0, 0, 0, 0, 64, 63068021345746944, 2377900603251621888, 2251799813685249, 1073807360, 2048, 4611686018427387904)",1,a3c5,human
"(1100048498944, 0, 0, 0, 0, 128, 63068021345746944, 2377900603251621888, 2251799813685249, 18253611008, 2048, 4611686018427387904)",1,g4f3,human
"(16842240, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,d7d5,human
"(1090567680, 129, 66, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,c8g4,human
"(18914816, 129, 66, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2305843010287435776, 576460752303423488, 1152921504606846976)",1,g4f5,human
"(153130496, 129, 66, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2305843146652647424, 576460752303423488, 1152921504606846976)",1,e7e6,human
"(153130496, 129, 66, 140737488355360, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 2305843146652647424, 576460752303423488, 1152921504606846976)",1,g7h6,human
"(153130496, 129, 2112, 32, 8, 16, 47164685144817664, 9295429630892703744, 4755801206503243776, 2305843146652647424, 576460752303423488, 1152921504606846976)",1,g8f6,human
"(153130496, 129, 66, 32, 8, 16, 47164685144817664, 9295429630892703744, 144150372447944704, 2305843146652647424, 576460752303423488, 1152921504606846976)",1,f8d6,human
"(153130496, 129, 66, 32, 524288, 16, 47164685144817664, 9295429630892703744, 144150372447944704, 8933531975680, 576460752303423488, 1152921504606846976)",1,f5d3,human
"(1073790720, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,d7d5,human
"(1107344640, 129, 66, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",1,c8g4,human
"(8589982976, 129, 66, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2305843010287435776, 576460752303423488, 1152921504606846976)",1,e7e6,human
"(8589982976, 129, 65600, 36, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 2305843010287435776, 576460752303423488, 1152921504606846976)",1,g8f6,human
"(8589982976, 129, 65600, 544, 8, 16, 65038346165944320, 9295429630892703744, 144150372447944704, 2305843010287435776, 576460752303423488, 1152921504606846976)",1,a7a6,human
"(8589982976, 129, 65600, 544, 4, 16, 64757970700861440, 9295429630892703744, 144150372447944704, 2305843010287435776, 576460752303423488, 1152921504606846976)",1,a6b5,human
"(48384, 129, 2162688, 544, 4, 16, 64756879779168256, 9295429630892703744, 144150372447944704, 2305843010287435776, 576460752303423488, 1152921504606846976)",1,c7c6,human
"(48384, 129, 2162688, 544, 2, 16, 63635377918836736, 9295429630892703744, 144150372447944704, 2305843010287435776, 576460752303423488, 1152921504606846976)",1,f8a3,human
"(48384, 129, 68719476736, 544, 2, 16, 63635377918836736, 9295429630892703744, 144150372447944704, 1073807360, 576460752303423488, 1152921504606846976)",1,g4f5,human
"(536911104, 129, 68719476736, 544, 2, 16, 63635377918836736, 9295429630892703744, 144150372447944704, 137439019008, 576460752303423488, 1152921504606846976)",1,e8g8,human
"(604018944, 129, 68719476736, 544, 2, 16, 63635377918836736, 2377900603251621888, 144150372447944704, 137439019008, 576460752303423488, 4611686018427387904)",1,b5c4,human
"(536910080, 129, 68719476736, 544, 268435456, 16, 63635369396011008, 2377900603251621888, 144150372447944704, 137439019008, 576460752303423488, 4611686018427387904)",1,d5e4,human
