state,color,move,player
"(201388800, 129, 2097154, 36, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 292733975779082240, 576460752303423488, 1152921504606846976)",0,g2g3,human
"(205566720, 129, 2097154, 36, 8, 16, 65038346165944320, 9295429630892703744, 144150372447944704, 292733975779082240, 576460752303423488, 1152921504606846976)",0,f1g2,human
"(205566720, 129, 2097154, 16388, 8, 16, 65038346165944320, 2377900603251621888, 144150372447944704, 292733975779082240, 576460752303423488, 4611686018427387904)",0,e1g1,human
"(205566720, 33, 2097154, 16388, 8, 64, 65038346165944320, 2377900603251621888, 2286984185774080, 292733975779082240, 576460752303423488, 4611686018427387904)",0,d1c2,human
"(205566720, 33, 2097154, 16388, 1024, 64, 63916844305612800, 2377900603251621888, 2286984185774080, 292733975779082240, 576460752303423488, 4611686018427387904)",0,b2b3,human
"(205697280, 33, 2097154, 16388, 1024, 64, 63635373623869440, 2377900603251621888, 2286984185774080, 292733975779082240, 576460752303423488, 4611686018427387904)",0,c1b2,human
"(205697280, 33, 2097154, 16896, 1024, 64, 63074622693703680, 2377900603251621888, 2286984185774080, 292733975779082240, 576460752303423488, 4611686018427387904)",0,b1c3,human
"(205697280, 33, 2359296, 16896, 1024, 64, 63074622693703680, 2377900603251621888, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,e2e4,human
"(407019776, 33, 2359296, 16896, 1024, 64, 63074588401074176, 2377900603251621888, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,f1d1,human
"(407019776, 9, 2359296, 16896, 1024, 64, 63074588401074176, 2594073385365405696, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,h2h4,human
"(2554470656, 9, 2359296, 16896, 1024, 64, 27186528870465536, 2594073385365405696, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,c3e2,human
"(2554470656, 9, 2101248, 16896, 1024, 64, 27184338437144576, 2594073385365405696, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,b3c4,human
"(2621448448, 9, 2101248, 16896, 1024, 64, 27184338370035712, 2594073385365405696, 37383395344384, 4504699138998272, 576460752303423488, 4611686018427387904)",0,c4c5,human
"(19734208768, 9, 2101248, 16896, 1024, 64, 27184338370035712, 2594073385365405696, 35184439197696, 4504699138998272, 576460752303423488, 4611686018427387904)",0,f3e5,human
"(19734208768, 9, 4096, 16896, 1024, 64, 27184338370035712, 2594073385365405696, 35253091565568, 4504699138998272, 576460752303423488, 4611686018427387904)",0,d4e5,human
"(88319467776, 9, 4096, 16896, 1024, 64, 27184338370035712, 2594073385365405696, 2251799813685248, 4504699138998272, 576460752303423488, 4611686018427387904)",0,d1d6,human
"(88319467776, 8796093022209, 4096, 16896, 1024, 64, 27184338370035712, 2594073385365405696, 2251799813685248, 4504699138998272, 1125899906842624, 4611686018427387904)",0,a1d1,human
"(88319467776, 8796093022216, 4096, 16896, 1024, 64, 27184338370035712, 864691128455135232, 2251799813685248, 4504699138998272, 1125899906842624, 4611686018427387904)",0,e2f4,human
"(88319467776, 8796093022216, 536870912, 16896, 1024, 64, 27184329813655552, 864691128455135232, 2251799813685248, 4504699138998272, 1125899906842624, 4611686018427387904)",0,g2h3,human
"(88319467776, 8796093022216, 536870912, 8389120, 1024, 64, 27184329813655552, 864691128455135232, 2305843009213693952, 4504699138998272, 1125899906842624, 4611686018427387904)",0,f4h5,human
"(88319467776, 8796093022216, 549755813888, 8389120, 1024, 64, 27184329813655552, 864691128455135232, 2305843009213693952, 4504699138998272, 281474976710656, 4611686018427387904)",0,b2d4,human
"(88319467776, 8, 549755813888, 142606336, 1024, 64, 27184329813655552, 864691128455135232, 2305843009213693952, 9895604649984, 281474976710656, 4611686018427387904)",0,e5d6,human
"(8815693013248, 8, 549755813888, 142606336, 1024, 64, 18212314931003392, 864691128455135232, 2305843009213693952, 1099511627776, 281474976710656, 4611686018427387904)",0,d4f6,human
"(8815693013248, 8, 549755813888, 35184380477440, 1024, 64, 18177130558914560, 864691128455135232, 2305843009213693952, 1099511627776, 9007199254740992, 4611686018427387904)",0,f6d8,human
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
"(134280960, 129, 66, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c2c4,human
"(201388800, 129, 66, 36, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g1f3,human
"(201388800, 129, 2097154, 36, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 292733975779082240, 576460752303423488, 1152921504606846976)",0,g2g3,human
"(205566720, 129, 2097154, 36, 8, 16, 65038346165944320, 9295429630892703744, 144150372447944704, 292733975779082240, 576460752303423488, 1152921504606846976)",0,f1g2,human
"(205566720, 129, 2097154, 16388, 8, 16, 65038346165944320, 2377900603251621888, 144150372447944704, 292733975779082240, 576460752303423488, 4611686018427387904)",0,e1g1,human
"(205566720, 33, 2097154, 16388, 8, 64, 65038346165944320, 2377900603251621888, 2286984185774080, 292733975779082240, 576460752303423488, 4611686018427387904)",0,d1c2,human
"(205566720, 33, 2097154, 16388, 1024, 64, 63916844305612800, 2377900603251621888, 2286984185774080, 292733975779082240, 576460752303423488, 4611686018427387904)",0,b2b3,human
"(205697280, 33, 2097154, 16388, 1024, 64, 63635373623869440, 2377900603251621888, 2286984185774080, 292733975779082240, 576460752303423488, 4611686018427387904)",0,c1b2,human
"(205697280, 33, 2097154, 16896, 1024, 64, 63074622693703680, 2377900603251621888, 2286984185774080, 292733975779082240, 576460752303423488, 4611686018427387904)",0,b1c3,human
"(205697280, 33, 2359296, 16896, 1024, 64, 63074622693703680, 2377900603251621888, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,e2e4,human
"(407019776, 33, 2359296, 16896, 1024, 64, 63074588401074176, 2377900603251621888, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,f1d1,human
"(406888704, 9, 2359296, 16896, 1024, 64, 63074588334096384, 2377900603251621888, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,a2b3,human
"(407019520, 9, 2359296, 16896, 1024, 64, 63074588333965312, 2594073385365405696, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,h2h4,human
"(2554470400, 9, 2359296, 16896, 1024, 64, 27046341070815232, 2594073385365405696, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,e4e5,human
"(71005511680, 9, 2359296, 16896, 1024, 64, 27046341070815232, 2594073385365405696, 2251834173423616, 4504699138998272, 576460752303423488, 4611686018427387904)",0,c3e4,human
"(71005511680, 9, 270532608, 16896, 1024, 64, 9102311305510912, 2594073385365405696, 2251834173423616, 4504699138998272, 576460752303423488, 4611686018427387904)",0,e4d6,human
"(71005511680, 9, 2097152, 16896, 1024, 64, 9102311305510912, 2594073385365405696, 2251834173423616, 9895604649984, 576460752303423488, 4611686018427387904)",0,e5d6,human
"(8798379057152, 9, 2097152, 16896, 1024, 64, 9102311305510912, 2594073385365405696, 35218731827200, 1099511627776, 576460752303423488, 4611686018427387904)",0,b2a3,human
"(8798379057152, 9, 2097152, 81920, 1024, 64, 9097930438868992, 2594073385365405696, 35218731827200, 1099511627776, 576460752303423488, 4611686018427387904)",0,d4c5,human
"(8798244839424, 9, 2097152, 81920, 1024, 64, 9095731415613440, 2594073385365405696, 35218731827200, 1099511627776, 576460752303423488, 4611686018427387904)",0,f3e5,human
"(2151817216, 9, 68719476736, 81920, 1024, 64, 9095731415613440, 2594073385365405696, 35218731827200, 1099511627776, 8796093022208, 4611686018427387904)",0,e5g6,human
"(65280, 129, 66, 36, 8, 16, 71776119061217280, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,d2d4,human
"(134280960, 129, 66, 36, 8, 16, 69524353607270400, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,c2c4,human
"(201388800, 129, 66, 36, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 2594073385365405696, 576460752303423488, 1152921504606846976)",0,g1f3,human
"(201388800, 129, 2097154, 36, 8, 16, 65038346165944320, 9295429630892703744, 4755801206503243776, 292733975779082240, 576460752303423488, 1152921504606846976)",0,g2g3,human
"(205566720, 129, 2097154, 36, 8, 16, 65038346165944320, 9295429630892703744, 144150372447944704, 292733975779082240, 576460752303423488, 1152921504606846976)",0,f1g2,human
"(205566720, 129, 2097154, 16388, 8, 16, 65038346165944320, 2377900603251621888, 144150372447944704, 292733975779082240, 576460752303423488, 4611686018427387904)",0,e1g1,human
"(205566720, 33, 2097154, 16388, 8, 64, 65038346165944320, 2377900603251621888, 2286984185774080, 292733975779082240, 576460752303423488, 4611686018427387904)",0,d1c2,human
"(205566720, 33, 2097154, 16388, 1024, 64, 63916844305612800, 2377900603251621888, 2286984185774080, 292733975779082240, 576460752303423488, 4611686018427387904)",0,b2b3,human
"(205697280, 33, 2097154, 16388, 1024, 64, 63635373623869440, 2377900603251621888, 2286984185774080, 292733975779082240, 576460752303423488, 4611686018427387904)",0,c1b2,human
"(205697280, 33, 2097154, 16896, 1024, 64, 63074622693703680, 2377900603251621888, 2286984185774080, 292733975779082240, 576460752303423488, 4611686018427387904)",0,b1c3,human
"(205697280, 33, 2359296, 16896, 1024, 64, 63074622693703680, 2377900603251621888, 2286984185774080, 4504699138998272, 576460752303423488, 4611686018427387904)",0,e2e4,human
